	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
million	0	0	2.0	0	0	0	1.0	1.0	4.0	1.0	0	0	0	3.0	0	0	0	0	21.0	0	1.0	0	0	1.0	7.0	0	0	0	0	0
minutes	0	0	0	0	0	1.0	0	0	18.0	0	0	0	0	2.0	0	1.0	0	1.0	16.0	0	2.0	1.0	0	0	0	0	0	0	0	0
moment	0	0	1.0	0	0	1.0	3.0	0	6.0	1.0	0	0	0	2.0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0
money	0	0	3.0	0	0	1.0	1.0	1.0	3.0	2.0	0	0	0	0	0	0	0	3.0	12.0	0	0	0	1.0	0	2.0	0	0	0	2.0	0
month	0	0	1.0	1.0	0	0	0	1.0	22.0	2.0	1.0	0	0	5.0	0	0	0	1.0	2.0	1.0	0	0	0	0	4.0	0	0	0	0	0
months	0	0	3.0	0	0	0	0	1.0	13.0	0	0	0	0	5.0	0	0	0	5.0	5.0	0	0	0	0	0	2.0	0	0	0	0	0
morning	0	0	0	0	0	1.0	2.0	0	3.0	3.0	2.0	0	0	1.0	1.0	0	0	0	43.0	0	1.0	0	0	0	2.0	0	0	0	0	0
move	0	0	3.0	1.0	0	0	0	0	4.0	1.0	0	0	0	0	0	0	0	2.0	10.0	0	1.0	0	0	0	1.0	2.0	0	0	0	0
much	4.0	0	21.0	2.0	0	1.0	2.0	4.0	96.0	1.0	0	0	0	4.0	1.0	0	0	8.0	25.0	0	1.0	0	3.0	0	3.0	0	0	0	0	0
music	0	0	4.0	0	0	0	0	0	10.0	0	0	0	0	5.0	0	0	0	5.0	2.0	2.0	0	0	1.0	0	0	0	0	0	0	0
must	0	0	1.0	1.0	4.0	0	0	1.0	9.0	0	0	0	0	0	0	0	0	3.0	13.0	0	0	0	0	0	1.0	0	0	0	1.0	0
myself	0	0	3.0	0	1.0	0	1.0	0	10.0	0	0	0	0	2.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0
name	2.0	0	5.0	2.0	0	0	0	0	14.0	1.0	0	0	0	7.0	0	0	0	9.0	68.0	0	1.0	0	0	0	0	0	0	0	0	0
names	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	2.0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0
nbsp	0	0	0	11.0	0	0	0	1.0	6.0	0	0	0	0	0	0	0	0	0	236.0	0	0	0	0	10.0	0	0	0	0	1.0	0
need	2.0	0	15.0	2.0	0	2.0	0	2.0	64.0	0	0	0	0	6.0	0	0	0	8.0	22.0	0	1.0	0	2.0	0	5.0	3.0	0	0	0	1.0
needed	0	0	3.0	0	0	1.0	0	1.0	23.0	0	0	0	0	1.0	0	0	0	2.0	2.0	0	1.0	0	0	0	2.0	0	0	0	0	0
network	0	0	0	3.0	0	0	0	0	37.0	0	0	0	0	0	0	0	0	6.0	15.0	0	1.0	0	0	0	0	0	0	1.0	0	0
never	1.0	0	9.0	2.0	0	0	2.0	4.0	16.0	1.0	0	0	0	1.0	0	0	1.0	10.0	27.0	0	1.0	0	0	0	2.0	1.0	0	0	0	0
news	1.0	0	0	1.0	0	1.0	2.0	1.0	17.0	3.0	2.0	0	0	24.0	0	0	1.0	1.0	94.0	0	1.0	0	1.0	0	6.0	0	1.0	0	0	0
next	1.0	0	5.0	5.0	0	4.0	1.0	1.0	39.0	2.0	0	0	0	5.0	1.0	0	0	10.0	17.0	1.0	3.0	0	3.0	0	1.0	1.0	0	0	1.0	0
nice	1.0	0	2.0	0	0	0	0	0	8.0	0	0	0	0	0	1.0	0	0	2.0	2.0	0	1.0	0	0	0	0	0	0	0	0	0
night	0	0	1.0	2.0	2.0	1.0	0	0	5.0	0	0	0	0	1.0	0	0	0	3.0	10.0	0	1.0	0	0	0	1.0	0	1.0	0	0	0
note	1.0	0	1.0	0	0	0	1.0	0	12.0	2.0	0	0	0	4.0	0	0	0	0	2.0	0	2.0	0	0	0	0	0	0	0	0	0
notes	0	0	0	0	0	0	2.0	0	2.0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	0	0	0	0	0	0	0	0
nothing	0	0	5.0	0	0	1.0	2.0	2.0	9.0	0	0	0	0	0	1.0	0	0	2.0	26.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0
notice	2.0	0	2.0	1.0	0	0	0	0	2.0	1.0	0	0	0	1.0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0
noticed	0	0	3.0	2.0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	9.0	1.0	0	0	0	0	0	0	0	0	0	0	0
number	4.0	0	0	0	0	3.0	1.0	2.0	28.0	0	0	0	0	3.0	0	0	1.0	5.0	14.0	0	8.0	0	0	0	2.0	0	1.0	0	0	0
obama	0	0	0	0	0	4.0	2.0	1.0	1.0	4.0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	1.0	0
off	0	0	7.0	2.0	0	4.0	0	2.0	53.0	1.0	0	0	0	4.0	0	0	0	6.0	18.0	0	3.0	0	1.0	0	4.0	0	0	0	0	0
office	0	0	3.0	0	0	2.0	0	1.0	7.0	0	0	0	0	2.0	0	0	0	0	17.0	0	0	0	0	0	5.0	0	0	0	0	0
official	0	0	0	0	0	0	0	0	6.0	2.0	0	0	0	2.0	0	0	0	1.0	2.0	0	0	0	0	0	1.0	1.0	0	0	1.0	0
often	1.0	0	6.0	1.0	0	0	2.0	1.0	17.0	1.0	0	0	0	6.0	0	0	0	9.0	18.0	0	1.0	0	0	2.0	1.0	1.0	1.0	0	1.0	0
old	0	0	7.0	4.0	0	0	3.0	3.0	21.0	2.0	2.0	0	0	4.0	0	0	0	1.0	9.0	0	2.0	0	0	0	4.0	0	0	0	0	0
once	1.0	0	8.0	0	0	0	0	0	5.0	0	0	0	0	3.0	0	0	0	3.0	15.0	0	1.0	0	0	0	0	0	0	0	2.0	0
ones	0	0	5.0	0	0	1.0	0	2.0	2.0	0	0	0	0	0	0	0	0	4.0	5.0	1.0	1.0	0	0	0	0	0	0	0	0	0
online	1.0	0	1.0	0	0	3.0	0	1.0	7.0	0	1.0	0	0	13.0	0	0	0	8.0	6.0	0	1.0	0	0	0	0	3.0	1.0	0	2.0	0
open	2.0	0	5.0	4.0	0	0	2.0	1.0	16.0	0	0	0	0	3.0	0	0	0	2.0	4.0	1.0	4.0	0	0	0	1.0	0	0	0	0	0
others	1.0	0	5.0	1.0	0	2.0	1.0	2.0	6.0	0	0	0	0	7.0	0	0	0	11.0	9.0	0	2.0	0	0	0	1.0	0	0	0	1.0	0
outside	0	0	2.0	0	0	0	0	0	2.0	0	0	0	1.0	2.0	0	0	0	1.0	5.0	0	0	0	0	0	1.0	0	0	0	0	0
over	1.0	0	13.0	1.0	2.0	5.0	3.0	5.0	46.0	1.0	0	0	0	14.0	0	3.0	0	14.0	61.0	0	2.0	1.0	2.0	0	9.0	5.0	0	0	0	0
own	0	0	13.0	2.0	0	3.0	1.0	0	42.0	0	0	0	0	4.0	1.0	1.0	0	24.0	19.0	1.0	2.0	0	0	0	2.0	0	0	0	1.0	0
page	0	0	0	10.0	1.0	0	0	0	42.0	0	0	0	0	7.0	0	0	0	8.0	6.0	0	0	0	0	0	0	0	0	0	0	0
panel	0	0	0	0	0	0	0	1.0	6.0	1.0	0	0	0	0	2.0	1.0	0	2.0	5.0	0	0	0	0	0	1.0	0	0	0	4.0	0
part	0	0	1.0	0	0	1.0	3.0	0	36.0	1.0	0	0	0	6.0	0	0	0	7.0	13.0	0	2.0	0	0	1.0	3.0	0	0	0	0	1.0
particular	0	0	1.0	0	1.0	0	0	0	10.0	0	0	0	0	2.0	0	0	0	2.0	3.0	0	0	0	0	0	1.0	0	0	0	0	0
passed	0	1.0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	2.0	12.0	0	1.0	0	0	0	4.0	0	0	0	0	0
past	2.0	0	2.0	0	0	2.0	3.0	0	6.0	1.0	0	0	0	8.0	0	0	0	1.0	12.0	0	1.0	0	0	0	0	3.0	0	1.0	0	0
paul	0	0	0	0	0	0	0	0	8.0	0	0	0	0	1.0	0	0	0	2.0	5.0	0	0	0	0	0	10.0	0	0	0	0	0
pay	0	0	1.0	0	1.0	0	0	0	4.0	1.0	0	0	0	1.0	0	0	0	3.0	7.0	0	0	0	1.0	0	2.0	0	0	0	0	0
percent	0	0	1.0	0	0	1.0	1.0	0	0	1.0	0	0	0	22.0	0	0	0	0	31.0	0	8.0	0	0	0	2.0	0	0	0	0	0
perhaps	2.0	0	1.0	0	0	0	2.0	1.0	2.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	1.0	2.0	0	0	0	0
period	0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0
person	0	0	7.0	0	0	2.0	1.0	0	2.0	0	0	0	0	6.0	0	0	0	5.0	9.0	0	1.0	0	0	0	0	2.0	0	0	0	0
personal	0	0	2.0	0	0	0	1.0	1.0	6.0	0	0	0	0	6.0	1.0	0	0	5.0	14.0	0	0	0	4.0	0	0	0	0	0	0	0
phone	3.0	0	3.0	0	3.0	2.0	0	0	43.0	0	0	0	0	3.0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0
photo	1.0	0	0	2.0	0	0	2.0	1.0	40.0	1.0	0	0	0	2.0	1.0	0	0	0	1.0	0	0	0	1.0	0	8.0	0	0	0	0	0
photos	0	0	0	6.0	0	3.0	1.0	1.0	42.0	0	0	0	1.0	31.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0
pic	0	0	0	0	0	5.0	0	2.0	3.0	1.0	0	0	0	0	0	0	0	3.0	6.0	0	0	0	0	0	0	0	0	0	0	0
pick	1.0	0	1.0	6.0	2.0	1.0	1.0	0	5.0	0	0	0	0	1.0	0	0	0	2.0	5.0	0	0	0	0	0	0	0	0	0	1.0	0
piece	0	0	1.0	0	1.0	0	2.0	1.0	4.0	1.0	0	0	0	3.0	0	0	0	0	5.0	0	0	0	0	0	0	0	2.0	0	0	0
place	2.0	0	4.0	3.0	0	2.0	1.0	0	17.0	0	0	0	0	7.0	0	0	0	3.0	9.0	0	1.0	1.0	0	0	3.0	0	0	0	1.0	0
places	0	0	2.0	4.0	0	0	1.0	5.0	1.0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	0	0	0	0	0	0	0
plan	0	0	2.0	0	0	0	0	4.0	15.0	2.0	0	0	0	0	0	0	0	0	3.0	0	1.0	0	0	0	4.0	0	1.0	0	0	1.0
platform	0	0	0	2.0	0	2.0	0	0	3.0	0	0	0	0	6.0	0	0	0	1.0	4.0	1.0	1.0	0	1.0	0	0	0	0	0	0	0
play	0	0	2.0	4.0	0	1.0	0	0	11.0	0	0	0	0	16.0	0	0	0	2.0	4.0	0	2.0	0	0	0	0	0	0	0	0	1.0
playing	0	0	4.0	1.0	0	0	1.0	0	7.0	0	0	0	0	2.0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0
please	0	0	8.0	0	4.0	0	3.0	0	6.0	1.0	0	0	0	2.0	0	0	0	3.0	27.0	0	0	0	0	0	1.0	0	0	0	0	0
point	0	0	12.0	3.0	1.0	1.0	0	4.0	21.0	1.0	0	0	0	0	0	0	0	6.0	23.0	0	0	0	0	0	3.0	0	0	1.0	0	0
police	0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	9.0	0	1.0	0	0	0	2.0	0	0	0	0	0
policy	0	0	0	0	2.0	0	0	1.0	7.0	0	0	0	0	0	0	0	0	2.0	18.0	0	0	0	0	0	1.0	1.0	0	0	0	0
popular	0	0	3.0	1.0	0	0	0	1.0	15.0	1.0	1.0	0	0	2.0	0	0	0	7.0	6.0	0	1.0	0	0	0	0	0	0	0	0	0
possible	1.0	0	7.0	0	0	0	1.0	0	10.0	0	0	0	0	2.0	0	0	0	1.0	6.0	1.0	1.0	0	1.0	0	0	0	0	0	1.0	1.0
post	2.0	0	1.0	1.0	20.0	1.0	4.0	0	37.0	2.0	2.0	0	0	3.0	4.0	0	0	41.0	31.0	0	3.0	0	1.0	0	1.0	0	2.0	0	11.0	0
posted	0	0	0	0	4.0	3.0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	12.0	0	2.0	0	2.0	0	1.0	0	0	0	0	0
potential	0	0	1.0	1.0	0	1.0	0	1.0	0	0	0	0	0	2.0	0	0	0	3.0	7.0	0	0	0	0	0	2.0	0	0	0	0	0
powerful	0	0	2.0	0	0	0	1.0	0	3.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0
president	0	2.0	0	0	0	9.0	1.0	3.0	2.0	4.0	0	0	0	2.0	0	0	0	0	189.0	0	1.0	0	0	0	28.0	0	0	0	1.0	0
press	1.0	0	1.0	1.0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	0	33.0	0	2.0	0	0	0	8.0	0	0	0	0	0
pretty	0	0	3.0	2.0	0	1.0	0	2.0	11.0	0	0	0	0	1.0	0	0	0	3.0	4.0	0	2.0	0	0	0	0	0	0	0	0	0
previous	0	0	0	0	0	0	1.0	0	7.0	0	0	0	0	1.0	0	0	0	2.0	2.0	0	4.0	0	0	0	0	0	0	0	0	0
probably	2.0	0	5.0	1.0	0	2.0	2.0	3.0	18.0	0	0	0	0	0	0	0	0	11.0	9.0	0	1.0	0	1.0	1.0	1.0	0	0	0	0	0
problem	0	0	2.0	0	0	1.0	1.0	0	6.0	0	0	0	0	3.0	0	0	0	4.0	9.0	1.0	1.0	0	0	0	3.0	0	0	0	0	0
problems	0	0	1.0	0	0	0	0	0	3.0	0	0	0	0	3.0	0	0	0	0	3.0	1.0	2.0	0	0	0	0	0	1.0	0	0	0
process	2.0	0	3.0	0	0	0	0	0	29.0	0	0	0	0	7.0	0	0	0	1.0	3.0	0	2.0	0	0	0	2.0	1.0	1.0	0	0	0
product	0	0	9.0	2.0	0	0	0	0	13.0	0	0	0	0	4.0	3.0	0	0	2.0	1.0	0	0	0	1.0	0	0	0	0	0	1.0	0
products	0	0	3.0	1.0	0	0	0	0	5.0	0	0	0	0	8.0	0	0	0	2.0	0	0	7.0	0	0	0	0	0	0	1.0	0	0
program	0	0	8.0	2.0	0	1.0	0	1.0	5.0	1.0	0	0	0	7.0	0	1.0	0	0	11.0	0	2.0	0	0	0	4.0	0	0	0	0	0
progress	0	0	3.0	0	1.0	0	0	0	20.0	0	0	0	0	2.0	0	0	0	0	6.0	0	1.0	0	0	0	0	0	0	0	0	0
project	0	0	4.0	0	0	1.0	0	0	37.0	0	0	0	0	6.0	0	0	0	4.0	15.0	1.0	4.0	0	0	0	1.0	0	0	0	0	0
projects	0	0	6.0	0	0	0	0	0	12.0	0	0	0	0	5.0	0	0	0	1.0	2.0	0	1.0	0	0	0	0	0	0	0	0	0
provide	0	0	1.0	1.0	0	0	0	1.0	14.0	0	0	0	0	4.0	0	0	0	1.0	3.0	0	0	0	0	0	4.0	0	0	0	0	1.0
public	0	0	2.0	1.0	3.0	1.0	1.0	1.0	3.0	0	0	0	0	5.0	0	0	0	0	11.0	0	2.0	0	0	0	1.0	0	0	0	0	0
published	0	0	10.0	1.0	0	0	0	0	3.0	0	0	0	0	3.0	0	0	0	1.0	6.0	0	1.0	0	0	0	10.0	0	0	0	0	0
put	1.0	0	7.0	0	0	0	0	2.0	30.0	0	0	0	0	3.0	0	0	0	4.0	19.0	0	2.0	0	0	0	1.0	0	0	0	0	0
question	4.0	0	4.0	3.0	0	0	2.0	0	3.0	0	0	0	0	1.0	0	2.0	0	0	20.0	1.0	0	0	0	0	0	0	0	1.0	0	0
questions	2.0	1.0	2.0	0	0	1.0	1.0	0	13.0	1.0	0	0	0	2.0	0	0	0	6.0	11.0	0	1.0	1.0	0	1.0	0	0	0	0	0	0
quick	1.0	0	2.0	0	0	0	0	0	8.0	0	0	0	0	3.0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0
rather	0	0	3.0	0	0	0	1.0	0	10.0	0	0	0	0	3.0	0	0	0	1.0	9.0	0	0	0	0	0	2.0	0	0	0	0	0
reached	0	0	3.0	0	0	0	0	0	1.0	1.0	0	0	0	3.0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0
read	2.0	0	7.0	1.0	1.0	31.0	7.0	1.0	49.0	0	0	0	0	5.0	0	1.0	0	9.0	7.0	0	16.0	0	0	0	2.0	0	0	0	0	0
readers	0	0	0	0	0	0	5.0	0	2.0	0	0	0	0	1.0	1.0	0	0	8.0	8.0	0	1.0	0	0	0	0	0	0	0	0	0
reading	1.0	0	1.0	0	0	0	3.0	0	43.0	0	0	0	0	7.0	0	1.0	0	8.0	0	0	0	1.0	14.0	0	0	0	10.0	0	0	0
ready	0	0	2.0	0	0	1.0	0	0	7.0	0	0	0	0	2.0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	1.0	0	0	0
real	0	0	5.0	1.0	0	1.0	1.0	0	29.0	2.0	0	0	0	6.0	0	0	0	2.0	27.0	1.0	1.0	0	1.0	0	0	0	0	0	3.0	0
reality	0	0	2.0	0	0	3.0	0	0	1.0	0	0	0	0	2.0	0	0	0	1.0	6.0	0	0	0	3.0	0	0	0	0	0	0	0
really	0	0	9.0	1.0	0	6.0	0	7.0	21.0	0	0	0	0	4.0	1.0	0	0	9.0	39.0	0	5.0	0	1.0	0	0	0	0	0	0	1.0
reason	0	0	4.0	1.0	0	0	0	2.0	11.0	0	0	0	0	0	0	0	0	10.0	9.0	0	1.0	0	0	0	0	0	0	0	0	0
reasons	0	0	0	3.0	0	0	0	2.0	4.0	0	0	0	0	1.0	0	0	0	5.0	2.0	0	0	2.0	0	0	0	0	0	0	0	1.0
recent	0	0	0	1.0	0	0	1.0	0	5.0	0	0	0	0	2.0	0	0	0	5.0	14.0	0	0	0	0	0	1.0	0	1.0	0	0	0
recently	0	0	5.0	2.0	0	1.0	4.0	0	9.0	0	0	0	0	7.0	1.0	3.0	0	6.0	5.0	0	2.0	0	0	0	0	1.0	3.0	0	1.0	0
record	0	0	3.0	0	0	0	1.0	2.0	18.0	0	0	0	0	1.0	0	0	0	1.0	8.0	0	0	0	0	0	0	0	0	0	0	0
red	0	0	0	0	0	0	0	2.0	8.0	0	0	0	0	1.0	0	0	0	2.0	5.0	0	3.0	0	0	0	0	0	0	0	0	0
related	0	0	4.0	10.0	0	0	0	0	6.0	0	0	0	0	5.0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	0	0
release	2.0	0	3.0	2.0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	1.0	3.0	0	6.0	0	0	0	0	0	0	0	0	0
remember	0	0	4.0	0	1.0	1.0	1.0	0	4.0	0	0	0	0	2.0	1.0	0	0	3.0	2.0	0	2.0	0	0	0	0	0	0	0	0	0
reports	0	0	2.0	1.0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	6.0	0	5.0	0	0	0	0	0	0	0	0	0
republican	0	0	0	0	0	0	0	3.0	0	2.0	0	0	0	0	0	0	0	0	26.0	0	0	0	0	0	11.0	0	0	0	0	0
research	0	0	0	1.0	0	0	2.0	0	10.0	0	0	0	0	10.0	0	0	0	1.0	4.0	0	3.0	0	0	0	1.0	0	0	0	0	0
result	0	0	0	3.0	1.0	0	0	0	6.0	0	0	0	0	2.0	0	0	0	3.0	1.0	0	1.0	0	0	0	2.0	0	0	0	0	0
results	1.0	0	1.0	9.0	0	1.0	1.0	0	2.0	1.0	0	0	0	3.0	0	0	0	5.0	3.0	0	6.0	0	0	0	0	0	0	0	0	2.0
right	1.0	0	16.0	1.0	0	4.0	0	1.0	25.0	2.0	1.0	0	0	12.0	0	0	0	7.0	61.0	1.0	1.0	0	0	0	5.0	0	1.0	0	0	0
room	1.0	0	2.0	0	0	2.0	1.0	1.0	9.0	1.0	0	0	0	3.0	0	0	0	1.0	4.0	0	0	0	0	0	1.0	2.0	1.0	0	0	0
rules	0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	9.0	5.0	0	0	0	0	4.0	0	0	0	0	0	0
run	1.0	0	12.0	0	0	2.0	0	2.0	37.0	1.0	0	0	0	3.0	0	0	0	0	3.0	0	3.0	0	0	1.0	0	1.0	0	0	0	0
running	0	0	12.0	1.0	0	0	0	1.0	23.0	0	0	0	0	3.0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0
said	2.0	1.0	7.0	0	0	3.0	4.0	7.0	10.0	4.0	1.0	0	0	0	1.0	0	0	13.0	61.0	0	11.0	0	0	0	25.0	2.0	0	0	0	0
same	1.0	0	10.0	3.0	0	2.0	2.0	0	36.0	2.0	0	0	0	3.0	0	0	0	16.0	21.0	1.0	2.0	0	0	0	1.0	0	0	0	0	0
saturday	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	1.0	0	2.0	0	6.0	0	0	0	0	0
save	0	0	3.0	0	0	0	0	0	8.0	2.0	0	0	0	1.0	0	0	0	1.0	5.0	0	0	0	1.0	0	0	0	0	0	0	0
saw	1.0	0	4.0	0	0	0	0	1.0	3.0	1.0	0	0	0	0	0	0	1.0	2.0	8.0	0	0	0	0	0	0	0	0	0	0	0
say	0	1.0	7.0	0	1.0	3.0	1.0	0	11.0	0	0	0	0	3.0	0	0	1.0	7.0	74.0	0	1.0	1.0	0	1.0	3.0	0	2.0	0	0	0
says	1.0	0	1.0	0	0	3.0	0	2.0	4.0	6.0	0	0	0	10.0	0	0	0	0	24.0	0	4.0	0	0	0	2.0	0	0	0	0	0
school	0	0	0	1.0	0	2.0	0	0	0	0	3.0	0	0	30.0	0	0	0	1.0	6.0	0	2.0	0	0	0	13.0	0	0	0	0	0
science	0	0	1.0	0	0	3.0	1.0	0	2.0	2.0	0	0	0	11.0	0	1.0	0	1.0	5.0	0	0	0	0	0	0	0	0	0	0	0
screen	1.0	0	3.0	3.0	0	0	0	0	24.0	0	0	0	0	0	0	0	0	1.0	5.0	0	0	0	0	0	0	1.0	0	0	0	0
search	1.0	0	6.0	47.0	20.0	0	0	0	4.0	0	0	0	0	12.0	0	0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	0	2.0
second	1.0	0	4.0	0	0	1.0	0	0	16.0	0	0	0	0	1.0	0	1.0	0	3.0	10.0	0	4.0	0	1.0	0	3.0	0	0	0	0	0
seconds	1.0	0	0	0	0	0	0	2.0	12.0	0	0	0	0	2.0	0	0	0	0	16.0	0	1.0	0	0	0	0	0	0	0	0	0
security	0	0	0	2.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	15.0	0	7.0	0	1.0	0	2.0	1.0	0	0	0	0
see	3.0	0	15.0	4.0	0	24.0	0	1.0	42.0	3.0	0	0	1.0	23.0	2.0	1.0	0	23.0	23.0	0	0	0	1.0	0	0	0	1.0	0	1.0	0
seem	0	0	0	2.0	0	2.0	1.0	1.0	3.0	1.0	0	0	0	0	0	0	0	2.0	8.0	0	0	0	0	0	0	0	0	0	0	0
seems	0	0	1.0	1.0	0	0	0	1.0	9.0	2.0	0	0	0	0	0	0	0	3.0	8.0	0	0	0	0	0	1.0	0	0	0	0	0
seen	0	0	3.0	0	0	2.0	0	0	5.0	0	0	0	0	2.0	0	0	0	4.0	12.0	0	0	0	2.0	0	2.0	0	0	0	0	0
self	0	0	4.0	0	0	0	0	6.0	2.0	0	0	0	0	0	0	0	0	3.0	5.0	0	1.0	0	0	0	0	1.0	0	0	0	0
sell	0	0	3.0	0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	2.0	5.0	0	0	0	0	0	0	0	0	0	0	0
sense	0	0	4.0	0	0	0	0	1.0	9.0	2.0	0	0	0	4.0	0	0	0	3.0	13.0	0	0	0	0	0	0	0	0	0	0	0
sent	0	0	0	1.0	0	0	2.0	2.0	5.0	0	0	0	0	2.0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0
series	0	0	2.0	0	0	2.0	0	0	4.0	0	0	0	0	6.0	0	0	0	9.0	3.0	0	2.0	0	0	0	2.0	0	0	0	0	0
service	5.0	0	3.0	0	0	0	0	0	25.0	0	0	0	0	1.0	0	0	0	5.0	8.0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	0
services	1.0	0	0	0	0	0	0	0	7.0	1.0	0	0	0	5.0	0	0	0	2.0	6.0	0	1.0	0	0	0	4.0	0	0	0	0	0
set	1.0	0	3.0	1.0	0	0	0	0	20.0	0	0	0	0	2.0	0	0	0	0	13.0	1.0	2.0	1.0	1.0	0	1.0	1.0	0	0	0	1.0
seven	0	0	0	1.0	0	2.0	3.0	0	0	0	0	0	0	2.0	0	0	0	4.0	5.0	0	3.0	0	2.0	1.0	1.0	0	0	0	0	0
several	1.0	0	1.0	0	0	1.0	0	0	9.0	0	0	0	0	2.0	0	0	0	10.0	8.0	0	1.0	0	1.0	0	2.0	0	0	0	0	0
share	0	0	10.0	3.0	0	0	0	0	17.0	0	0	0	0	13.0	0	0	0	8.0	1.0	0	1.0	0	1.0	0	1.0	0	0	0	1.0	2.0
she	0	0	7.0	0	0	3.0	1.0	1.0	0	1.0	0	0	1.0	14.0	0	4.0	0	1.0	91.0	1.0	1.0	0	0	0	9.0	0	0	0	0	0
shopping	0	0	3.0	2.0	0	7.0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
short	0	0	0	0	0	0	2.0	0	12.0	0	0	0	0	1.0	0	1.0	0	1.0	4.0	1.0	0	0	0	0	6.0	0	0	0	1.0	0
shot	0	0	0	0	0	0	0	2.0	4.0	3.0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	1.0	0	0	0	0	0
should	0	0	9.0	1.0	0	2.0	2.0	3.0	36.0	3.0	1.0	0	0	8.0	0	0	0	15.0	24.0	0	0	0	1.0	0	7.0	0	0	0	0	2.0
show	1.0	0	12.0	2.0	0	3.0	0	0	13.0	0	3.0	0	0	7.0	0	0	0	5.0	44.0	0	2.0	0	3.0	0	2.0	0	0	0	0	0
showed	0	0	1.0	1.0	0	1.0	2.0	0	4.0	0	0	0	0	2.0	0	0	0	1.0	5.0	0	0	0	0	0	1.0	0	0	0	1.0	0
showing	0	0	1.0	0	0	0	0	1.0	8.0	0	0	0	0	4.0	0	0	0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0
shows	0	0	7.0	17.0	0	1.0	1.0	0	44.0	0	0	0	0	4.0	0	0	0	2.0	11.0	0	0	0	1.0	0	1.0	0	0	0	0	0
