	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
don	4.0	0	28.0	3.0	1.0	1.0	4.0	6.0	47.0	0	0	0	0	1.0	0	0	1.0	14.0	62.0	0	2.0	1.0	2.0	3.0	6.0	0	0	0	0	0
donald	0	1.0	0	0	0	10.0	0	0	0	2.0	0	0	0	0	0	0	0	0	37.0	0	0	0	0	0	8.0	0	0	0	0	0
done	0	0	9.0	0	1.0	0	0	0	22.0	0	0	0	0	2.0	0	0	0	3.0	21.0	0	0	0	1.0	0	0	0	0	0	0	0
dos	0	0	10.0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	2.0	0	8.0	0	1.0	0	0	0	0	0	0	0
down	1.0	0	13.0	4.0	1.0	4.0	1.0	1.0	33.0	4.0	0	0	0	3.0	0	1.0	0	2.0	29.0	0	1.0	0	0	0	5.0	0	0	0	0	0
drive	0	0	1.0	1.0	0	1.0	0	1.0	20.0	0	0	0	0	2.0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	3.0	0
due	0	0	0	0	0	2.0	0	0	7.0	0	0	0	0	1.0	0	0	0	2.0	4.0	0	3.0	0	0	0	3.0	0	0	0	0	0
during	0	0	3.0	0	0	2.0	2.0	2.0	14.0	1.0	0	0	0	4.0	0	0	0	8.0	21.0	0	1.0	0	0	0	8.0	1.0	0	0	0	0
each	3.0	0	4.0	4.0	1.0	0	0	0	18.0	0	0	0	0	7.0	0	1.0	0	3.0	12.0	0	0	1.0	3.0	1.0	1.0	0	0	0	0	0
earlier	0	0	3.0	0	0	0	0	0	10.0	0	0	0	0	3.0	0	0	0	1.0	11.0	0	1.0	0	0	0	0	0	2.0	0	0	0
early	0	0	4.0	1.0	0	0	1.0	0	12.0	0	1.0	0	0	3.0	0	1.0	0	2.0	6.0	0	3.0	0	0	1.0	2.0	0	0	0	1.0	0
easier	0	0	2.0	0	0	1.0	0	0	14.0	1.0	0	0	0	7.0	0	0	0	0	4.0	0	0	0	0	0	1.0	0	0	0	0	0
easily	1.0	0	3.0	0	0	0	0	0	12.0	0	0	0	0	4.0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0
easy	1.0	0	8.0	1.0	0	1.0	0	0	16.0	0	0	0	0	5.0	0	0	0	2.0	2.0	0	0	0	0	0	0	1.0	0	0	1.0	0
editor	0	0	1.0	0	0	0	0	0	2.0	1.0	0	0	0	5.0	0	0	0	0	4.0	0	2.0	0	0	0	0	0	0	0	0	0
education	0	0	0	0	0	1.0	0	0	4.0	2.0	0	0	0	15.0	0	1.0	0	0	4.0	0	0	0	0	0	3.0	0	0	0	0	0
effort	0	0	3.0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	0	3.0	1.0	0	0	0	0	1.0	2.0	0	0	0	0	0
efforts	0	0	2.0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	0	17.0	7.0	0	0	0	0	0	1.0	0	0	0	0	0
either	0	0	1.0	0	0	0	1.0	0	12.0	0	0	0	0	2.0	0	0	0	2.0	2.0	0	2.0	0	2.0	0	1.0	0	0	0	0	1.0
else	1.0	0	11.0	0	0	0	1.0	0	7.0	0	0	0	0	2.0	0	0	0	8.0	11.0	0	0	0	0	0	0	0	0	0	1.0	0
email	0	0	9.0	1.0	1.0	0	2.0	0	9.0	0	0	0	0	2.0	0	1.0	0	3.0	3.0	0	0	0	0	0	0	0	1.0	0	0	1.0
employees	0	0	15.0	0	0	0	0	0	1.0	0	0	0	0	3.0	0	0	0	3.0	1.0	0	8.0	0	0	0	0	0	0	0	0	0
end	0	0	4.0	1.0	2.0	1.0	3.0	0	20.0	1.0	0	0	0	6.0	0	0	0	5.0	14.0	0	2.0	0	0	0	2.0	0	0	0	0	0
ended	0	0	2.0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	3.0	2.0	0	0	0	0	0	1.0	0	1.0	0	0	0
enough	0	0	27.0	0	0	1.0	1.0	2.0	21.0	0	0	0	0	0	0	0	0	5.0	4.0	0	1.0	0	0	1.0	1.0	0	1.0	0	1.0	0
environment	0	0	4.0	0	0	0	0	0	2.0	0	0	0	0	5.0	0	0	0	2.0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	0
error	0	0	2.0	3.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
even	4.0	0	16.0	4.0	0	4.0	3.0	8.0	43.0	0	0	0	0	6.0	0	0	0	18.0	53.0	0	2.0	0	2.0	0	9.0	1.0	0	0	0	1.0
event	0	0	3.0	0	0	4.0	0	1.0	4.0	0	0	0	0	0	0	0	0	28.0	1.0	0	0	0	1.0	0	11.0	0	0	0	0	0
events	0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	6.0	0	0	0	12.0	2.0	0	0	0	0	0	8.0	0	0	0	0	0
